,Date,Stock Price,Stock Price Present
700,2019-02-06,75.26,1
701,2019-02-07,74.68,1
702,2019-02-08,73.98,1
703,2019-02-09,73.98,0
704,2019-02-10,73.98,0
705,2019-02-11,74.1,1
706,2019-02-12,75.4,1
707,2019-02-13,76.25,1
708,2019-02-14,76.27,1
709,2019-02-15,77.71,1
710,2019-02-16,77.71,0
711,2019-02-17,77.71,0
712,2019-02-18,77.71,0
713,2019-02-19,78.23,1
714,2019-02-20,78.53,1
715,2019-02-21,77.82,1
716,2019-02-22,78.42,1
717,2019-02-23,78.42,0
718,2019-02-24,78.42,0
719,2019-02-25,78.5,1
720,2019-02-26,78.66,1
721,2019-02-27,79.47,1
722,2019-02-28,79.03,1
723,2019-03-01,80.0,1
724,2019-03-02,80.0,0
725,2019-03-03,80.0,0
726,2019-03-04,80.31,1
727,2019-03-05,80.19,1
728,2019-03-06,79.28,1
729,2019-03-07,80.16,1
730,2019-03-08,79.01,1
731,2019-03-09,79.01,0
732,2019-03-10,79.01,0
733,2019-03-11,79.78,1
734,2019-03-12,80.0,1
735,2019-03-13,80.71,1
736,2019-03-14,80.44,1
737,2019-03-15,80.15,1
738,2019-03-16,80.15,0
739,2019-03-17,80.15,0
740,2019-03-18,81.08,1
741,2019-03-19,80.87,1
742,2019-03-20,81.32,1
743,2019-03-21,81.79,1
744,2019-03-22,80.48,1
745,2019-03-23,80.48,0
746,2019-03-24,80.48,0
747,2019-03-25,79.92,1
748,2019-03-26,80.96,1
749,2019-03-27,80.34,1
750,2019-03-28,80.74,1
751,2019-03-29,80.8,1
752,2019-03-30,80.8,0
753,2019-03-31,80.8,0
754,2019-04-01,81.73,1
755,2019-04-02,81.38,1
756,2019-04-03,80.9,1
757,2019-04-04,82.05,1
758,2019-04-05,82.49,1
759,2019-04-06,82.49,0
760,2019-04-07,82.49,0
761,2019-04-08,83.0,1
762,2019-04-09,81.93,1
763,2019-04-10,81.56,1
764,2019-04-11,81.95,1
765,2019-04-12,80.92,1
766,2019-04-13,80.92,0
767,2019-04-14,80.92,0
768,2019-04-15,80.65,1
769,2019-04-16,81.2,1
770,2019-04-17,81.43,1
771,2019-04-18,81.13,1
772,2019-04-19,81.13,0
773,2019-04-20,81.13,0
774,2019-04-21,81.13,0
775,2019-04-22,82.9,1
776,2019-04-23,83.38,1
777,2019-04-24,81.76,1
778,2019-04-25,82.22,1
779,2019-04-26,80.49,1
780,2019-04-27,80.49,0
781,2019-04-28,80.49,0
782,2019-04-29,79.97,1
783,2019-04-30,80.28,1
784,2019-05-01,78.67,1
785,2019-05-02,77.29,1
786,2019-05-03,77.47,1
787,2019-05-04,77.47,0
788,2019-05-05,77.47,0
789,2019-05-06,77.13,1
790,2019-05-07,76.72,1
791,2019-05-08,76.84,1
792,2019-05-09,76.77,1
793,2019-05-10,76.56,1
794,2019-05-11,76.56,0
795,2019-05-12,76.56,0
796,2019-05-13,75.71,1
797,2019-05-14,75.81,1
798,2019-05-15,76.37,1
799,2019-05-16,76.36,1
800,2019-05-17,75.91,1
801,2019-05-18,75.91,0
802,2019-05-19,75.91,0
803,2019-05-20,75.9,1
804,2019-05-21,76.25,1
805,2019-05-22,75.56,1
